len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Продольный наклон;Поперечный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf
0.0;8.0;60.64605783333333;59.71484083333333;334.0;79.73698303744857;-0.4669037528575783;99.0;;92.8;0.0;;0.008056640625;1.048583984375;0.1832275390625;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;740.0;15.0;748.0;28.0;740.0;22.0;696.0;23.0;740.0;24.0;/home/pi/adviser/route1;[];686;0.0;;7.7;9.2;10.4;9.2;1.7282003185472101;6.045742307545059;-0.675909887101914;7.3;7.3;11.02;7.6;point_90%;7.3;7.6;1;0;0;0;-;0.0;0;0;up;0.0;0.0;1.7282003185472101;up;0;0.01;0.0
2.0;8.0;60.64604833333333;59.714865;333.9;78.12376928783007;-4.7597392640852485;99.0;;92.8;1.690441649131011;;0.077880859375;1.0084228515625;-0.0452880859375;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;740.0;15.0;748.0;28.0;740.0;22.0;696.0;23.0;740.0;24.0;/home/pi/adviser/route1;[];686;;;9.8;9.6;10.4;6.8;2.085184922179096;3.7459939280907744;-1.0237555661158293;10.584999999999999;10.584999999999999;11.02;7.6;point_90%;7.3;7.6;1;0;0;0;-;0.0;0;0;up;0.0;0.0;2.085184922179096;up;0;0.01;0.0
4.0;9.0;60.64603183333333;59.7148855;334.0;84.51653877184248;-0.7806195415082335;99.0;;92.8;2.150652532286304;;0.008056640625;1.097900390625;0.0596923828125;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;740.0;15.0;748.0;28.0;740.0;22.0;696.0;23.0;740.0;24.0;/home/pi/adviser/route1;[];686;;;9.8;9.6;7.2;7.5;2.1352075220941007;2.511115808475077;-0.9326989180376941;10.584999999999999;10.584999999999999;7.6;7.6;point_90%;7.3;7.6;1;0;0;0;-;0.0;0;0;up;9.0;0.0;2.1352075220941007;up;0;0.01;0.0
7.0;9.0;60.64601233333333;59.714915;334.3;83.06405330051143;-3.043536923549357;99.0;;92.8;2.7025447873231903;;0.0421142578125;0.9561767578125;0.0321044921875;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;740.0;15.0;748.0;28.0;740.0;22.0;696.0;23.0;740.0;24.0;/home/pi/adviser/route1;[];686;;;9.8;8.3;7.2;7.5;1.9837042292635194;2.0772415249363467;-0.877462734802211;10.584999999999999;10.584999999999999;7.6;7.6;point_90%;7.3;7.6;1;0;0;0;-;0.0;0;0;up;9.5;0.0;1.9837042292635194;up;0;0.01;0.0
9.0;9.0;60.64599866666666;59.71493816666667;334.1;85.25807146142546;-1.0374942032343353;99.0;;92.8;1.9780949022297154;;0.017822265625;0.99560546875;0.0477294921875;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;740.0;15.0;748.0;28.0;740.0;22.0;696.0;23.0;740.0;24.0;/home/pi/adviser/route1;[];686;;;7.5;7.6;8.3;7.0;1.7169166387990398;2.217528151804834;-0.8275102636745202;7.3;10.584999999999999;7.6;7.6;point_90%;7.3;7.6;1;0;0;0;-;0.0;0;0;up;0.0;0.0;1.7169166387990398;up;0;1.9830742480209818;0.3888565470295744
11.0;8.0;60.64598266666667;59.714968166666665;333.8;83.50293346366558;0.7376480062139322;99.0;;92.4;2.419211524198518;;-0.011474609375;1.041259765625;0.1142578125;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;740.0;15.0;748.0;28.0;740.0;22.0;696.0;23.0;740.0;24.0;/home/pi/adviser/route1;[];686;;;7.4;9.7;10.6;6.7;1.4035188181483882;2.7398256582618656;-0.8032445621414666;7.3;10.584999999999999;11.02;7.6;point_90%;7.3;7.6;1;0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;up;1;0.01;0.3888565470295744
13.0;8.0;60.64596683333333;59.71499933333333;334.0;85.37832473942325;-0.8890326423086479;99.0;;92.4;2.449356096670763;;0.0155029296875;1.0250244140625;0.07568359375;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;740.0;15.0;748.0;28.0;740.0;22.0;696.0;23.0;740.0;24.0;/home/pi/adviser/route1;[];686;;;7.9;9.7;10.6;3.8;1.0962442952909797;3.484346305099052;-0.9598739277241375;7.3;10.584999999999999;11.02;7.6;point_90%;7.3;7.6;1;0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;1;0.01;0.3888565470295744
15.0;8.0;60.64595283333333;59.71501933333333;333.7;86.1959902030696;-3.0172784201537413;99.0;;92.4;1.90265224737605;;0.053955078125;1.0118408203125;0.0252685546875;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;740.0;15.0;748.0;28.0;740.0;22.0;696.0;23.0;740.0;24.0;/home/pi/adviser/route1;[];686;;;9.6;8.5;10.4;7.2;0.8335130469335685;4.321334041477508;-0.656588134356622;10.584999999999999;7.3;11.02;7.6;point_90%;7.3;7.6;1;0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;1;0.01;0.3888565470295744
17.0;9.0;60.6459415;59.71504933333333;333.7;79.90111089654415;-0.2868508100015263;99.0;;92.4;2.0668492838778127;;0.00341796875;0.9466552734375;0.163818359375;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;740.0;15.0;748.0;28.0;740.0;22.0;696.0;23.0;740.0;24.0;/home/pi/adviser/route1;[];686;;;9.6;8.1;10.0;5.8;0.6410584867058899;5.148733901687046;-0.9578335590472777;10.584999999999999;7.3;11.02;7.6;point_90%;7.3;7.6;1;0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;1;0.01;0.3888565470295744
19.0;9.0;60.64592616666667;59.71507133333333;333.2;82.96078220374221;-4.040064204667786;99.0;;92.4;2.0868433382852767;;0.0662841796875;0.9329833984375;0.00146484375;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;740.0;15.0;748.0;28.0;740.0;22.0;696.0;23.0;740.0;24.0;/home/pi/adviser/route1;[];686;;;8.0;8.4;10.0;7.9;0.5335544533563166;5.889861401905386;-0.7708967040350059;10.584999999999999;7.3;11.02;7.6;point_90%;7.3;7.6;1;0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;1;0.01;0.3888565470295744
