len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Продольный наклон;Поперечный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
0.0;7.0;60.6464605;59.7142845;327.9;79.92678630135677;-6.57210849767746;96.0;;72.4;0.0;204.8;0.115234375;1.006103515625;0.0855712890625;Груженный стоит;32;75131;130;;-125.0;;6.4;768.0;31.0;760.0;25.0;776.0;42.0;764.0;38.0;716.0;34.0;764.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];676;0.0;0.05688888888888889;7.4;6.6;8.8;4.6;6.584411050169665;3.6770756787204304;-0.7292408920008793;7.3;7.3;7.3;7.3;-;7.3;7.3;0;0;0;0;-;0.0;0;0;up;0;8;6.584411050169665;up;0;0.01;0.0;1
1.0;8.0;60.64645166666666;59.71430466666666;327.8;81.34055098320158;-6.105705235124947;96.0;;72.0;1.475811317222284;204.8;0.1097412109375;1.0235595703125;0.1064453125;Груженный движется вперед;32;75131;130;;-125.0;;6.4;768.0;31.0;760.0;25.0;776.0;42.0;764.0;38.0;716.0;34.0;764.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];676;0.03854753532854254;0.11377777777777778;7.6;5.8;8.1;6.1;6.579784518932339;5.4494630035855955;-0.601000086889453;7.3;7.3;7.3;7.3;-;7.3;7.3;0;0;0;0;-;0.0;0;0;up;0;0;6.579784518932339;up;0;0.01;0.0;1
4.0;9.0;60.64643808333334;59.71434508333333;327.79999999999995;80.56921678850429;-6.5267432469204;95.0;;72.0;2.674096056215047;204.8;0.11962890625;1.031494140625;0.107666015625;Груженный движется вперед;32;75131;130;;-125.0;;6.4;768.0;31.0;760.0;25.0;776.0;42.0;764.0;38.0;716.0;34.0;764.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];676;0.021274063344384954;0.1706666666666667;8.6;5.8;7.3;7.4;6.222695243588074;6.332568483565279;-0.5984219424611013;7.3;7.3;7.3;7.3;-;7.3;7.3;0;0;0;0;-;0.0;0;0;up;0;0;6.222695243588074;up;0;0.01;0.0;1
8.0;9.0;60.64641733333333;59.71440716666667;328.0;82.29331363830399;-6.470461620045066;93.0;;72.0;4.100400535572721;204.8;0.1143798828125;1.0020751953125;0.0198974609375;Груженный движется вперед;32;75131;130;;-125.0;;6.4;768.0;31.0;760.0;25.0;776.0;42.0;764.0;38.0;716.0;34.0;764.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];676;0.013873983381709556;0.22755555555555557;8.6;6.8;8.0;7.2;5.63994823388225;6.53705171577952;-0.5844997065409618;7.3;7.3;7.3;7.3;-;7.3;7.3;0;0;0;0;-;0.0;0;0;up;8;9;5.63994823388225;up;0;0.01;0.0;1
11.0;11.0;60.64640333333333;59.71445033333333;328.4;82.21538719272354;-4.77344043523501;93.0;;72.0;2.8244812039613603;204.8;0.081298828125;0.9871826171875;0.0953369140625;Груженный движется вперед;32;75131;130;;-125.0;;6.4;768.0;31.0;760.0;25.0;776.0;42.0;764.0;38.0;716.0;34.0;764.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];676;0.020141358635738738;0.28444444444444444;7.8;6.8;9.2;7.2;4.935455431279543;6.250290990214189;-0.7227530669011832;7.3;7.3;7.3;7.3;-;7.3;7.3;0;0;0;0;-;0.0;0;0;up;0;0;4.935455431279543;up;0;0.01;0.0;1
14.0;11.0;60.64638416666666;59.71449466666667;328.9;81.22916722295506;-4.668553661617866;97.0;;72.0;3.225720194660882;204.8;0.0865478515625;1.0531005859375;0.136962890625;Груженный движется вперед;32;75131;130;;-125.0;;6.4;768.0;31.0;760.0;25.0;776.0;42.0;764.0;38.0;716.0;34.0;764.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];676;0.017636027136838997;0.3413333333333333;8.2;6.5;9.2;6.0;4.19211090382543;5.637035090737569;-0.8417738458983735;7.3;7.3;7.3;7.3;-;7.3;7.3;0;0;0;0;-;0.0;0;0;up;0;11;4.19211090382543;up;0;0.01;0.0;1
17.0;11.0;60.6463645;59.7145305;329.0;79.85575318110986;-1.9243691147928648;94.0;;72.0;2.935430085550165;204.8;0.0352783203125;1.00341796875;0.1724853515625;Груженный движется вперед;32;75131;130;;-125.0;;6.4;768.0;31.0;760.0;25.0;776.0;42.0;764.0;38.0;716.0;34.0;764.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];676;0.0193800864714605;0.3982222222222222;8.2;8.0;6.8;6.4;3.473666041007694;4.840055096116938;-1.0436341522255725;7.3;7.3;7.3;7.3;-;7.3;7.3;0;0;0;0;-;0.0;0;0;up;0;0;3.473666041007694;up;0;0.01;0.0;1
20.0;11.0;60.64634316666667;59.714555833333335;328.8;82.2215520396534;-2.1118922926210235;94.0;;72.0;2.74791801846405;204.8;0.0400390625;1.0025634765625;0.0833740234375;Груженный движется вперед;32;75131;130;;-125.0;;6.4;768.0;31.0;760.0;25.0;776.0;42.0;764.0;38.0;716.0;34.0;764.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];676;0.020702542254403558;0.4551111111111111;9.6;8.1;8.4;6.4;2.82660474861792;3.980796181035171;-0.9796178018582733;10.584999999999999;7.3;7.3;7.3;point_60%;7.3;7.3;1;0;0;0;-;0.0;0;0;up;0;0;2.82660474861792;up;0;0.01;0.0;1
22.0;11.0;60.646324666666665;59.71458116666667;328.7;83.34194915860155;-4.719105533300343;97.0;;72.0;2.480409295397567;204.8;0.0853271484375;1.0284423828125;0.0770263671875;Груженный движется вперед;32;75131;130;;-125.0;;6.4;768.0;31.0;760.0;25.0;776.0;42.0;764.0;38.0;716.0;34.0;764.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];676;0.022935282896434466;0.512;9.6;8.1;8.4;7.0;2.282018643613007;3.160029417107313;-1.0021395893896599;10.584999999999999;7.3;7.3;7.3;point_60%;7.3;7.3;1;0;0;0;-;0.0;0;0;up;0;0;2.282018643613007;up;0;0.01;0.0;1
25.0;11.0;60.646302166666665;59.7146105;328.8;85.74274929739269;-0.2189383012817777;98.0;;72.0;2.97253268157777;204.8;0.00390625;1.0323486328125;0.0762939453125;Груженный движется вперед;32;75131;130;;-125.0;;6.4;768.0;31.0;760.0;25.0;776.0;42.0;764.0;38.0;716.0;34.0;764.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];676;0.019138187862981958;0.5688888888888889;8.8;8.8;8.6;7.3;1.857482248976667;2.4585035738971732;-0.9657762247102908;7.3;7.3;7.3;7.3;point_60%;7.3;7.3;1;0;0;0;-;0.0;0;0;up;0;0;1.857482248976667;up;0;0.01;0.0;1
