len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Поперечный наклон;Продольный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
0.0;6.0;60.64676883333333;59.714004333333335;343.2;84.50498577455971;-3.5116643902777582;114.0;;;0.0;;0.0626220703125;1.0205078125;0.053466796875;Груженный движется вперед;32;75131;130;;;;;748.0;28.0;752.0;24.0;760.0;38.0;752.0;36.0;704.0;34.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];754;0.0;;7.1;7.4;7.5;8.6;2.9950177859978373;3.5116643902777582;-0.39604539637608593;7.0;7.0;7.0;7.0;-;7.0;7.0;0;0.0;0;0;-;0.0;0;0;up;0.0;7.0;3.5116643902777582;up;0;0.01;0.0;0
2.0;7.0;60.64676333333333;59.714031166666665;343.0;86.04152961033763;-2.0483032981890688;115.0;;;1.5871184993302476;;0.035400390625;0.99072265625;0.0523681640625;Груженный движется вперед;32;75131;130;;;;;748.0;28.0;752.0;24.0;760.0;38.0;752.0;36.0;704.0;34.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];754;;;7.1;8.4;7.5;7.0;3.021545604604371;2.0483032981890688;-0.41568455122819037;7.0;7.0;7.0;7.0;-;7.0;7.0;0;0.0;0;0;-;0.0;1;0;up;0.0;0.0;2.0483032981890688;up;0;0.01;0.0;0
3.0;7.0;60.64675716666667;59.71405966666666;343.4;81.15796228917449;-5.161042306133663;113.0;;;1.699984655443876;;0.095703125;1.0628662109375;0.0987548828125;Груженный движется вперед;32;75131;130;;;;;748.0;28.0;752.0;24.0;760.0;38.0;752.0;36.0;704.0;34.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];754;;;7.0;8.4;6.4;8.6;5.285688304605238;5.161042306133663;-0.3931380068626773;7.0;7.0;7.0;7.0;-;7.0;7.0;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;5.161042306133663;up;0;0.01;0.0;0
5.0;7.0;60.646751;59.71409;343.6;84.1793381914992;-4.358036741045844;113.0;;;1.7919637397462576;;0.079833984375;1.0447998046875;0.0625;Груженный движется вперед;32;75131;130;;;;;748.0;28.0;752.0;24.0;760.0;38.0;752.0;36.0;704.0;34.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];754;;;7.4;6.7;6.4;8.6;3.4172638784656657;4.358036741045844;-0.6369312687646027;7.0;7.0;7.0;7.0;-;7.0;7.0;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;4.358036741045844;up;0;0.01;0.0;0
7.0;8.0;60.64674;59.71412033333333;344.2;82.35430980460222;-4.99658234273239;113.0;;;2.0589717116421657;;0.091796875;1.052734375;0.0987548828125;Груженный движется вперед;32;75131;130;;;;;748.0;28.0;752.0;24.0;760.0;38.0;752.0;36.0;704.0;34.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];754;;;7.4;7.6;5.5;8.2;5.3358280093879005;4.99658234273239;-0.6920302286248279;7.0;7.0;7.0;7.0;-;7.0;7.0;0;0.0;0;0;-;0.0;1;0;up;0.0;0.0;4.99658234273239;up;0;0.01;0.0;0
9.0;8.0;60.646731333333335;59.71414166666667;343.8;83.80027368181852;-5.018981038189524;113.0;;;1.5119613472351388;;0.0859375;1.0062255859375;0.0347900390625;Груженный движется вперед;32;75131;130;;;;;748.0;28.0;752.0;24.0;760.0;38.0;752.0;36.0;704.0;34.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];754;;;6.4;7.6;7.8;7.8;1.9790192018548185;5.018981038189524;-0.891016363255424;7.0;7.0;7.0;7.0;-;7.0;7.0;0;0.0;0;0;-;0.0;1;0;up;7.5;0.0;5.018981038189524;up;0;0.01;0.0;0
11.0;9.0;60.646715666666665;59.7141675;343.5;85.13924337847031;-2.818725621241223;113.0;;;2.2425225836272435;;0.0506591796875;1.0184326171875;0.0565185546875;Груженный движется вперед;32;75131;130;;;;;748.0;28.0;752.0;24.0;760.0;38.0;752.0;36.0;704.0;34.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];754;;;6.4;8.7;7.8;7.6;3.17153685688528;2.818725621241223;-0.8086279063924624;7.0;7.0;7.0;7.0;-;7.0;7.0;0;0.0;0;0;-;0.0;1;0;up;0.0;0.0;2.818725621241223;up;0;4.182435019428041;1.813339021919715;0
12.0;8.0;60.64670616666667;59.714186;343.3;86.66526613943894;-1.1412969451380903;115.0;;;1.462040380802964;;0.0196533203125;1.0191650390625;0.046630859375;Груженный движется вперед;32;75131;130;;;;;748.0;28.0;752.0;24.0;760.0;38.0;752.0;36.0;704.0;34.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];754;;;7.4;9.1;6.8;7.6;2.6169491231066866;1.1412969451380903;-0.7795938762889802;7.0;7.0;7.0;7.0;-;7.0;7.0;0;0.0;0;0;-;0.0;1;0;flat;0.0;8.25;1.6;up;1;0.01;1.7818026911037197;0
15.0;9.0;60.6466905;59.714218333333335;343.7;82.96861809801354;-4.011218338529353;114.0;;;2.480878617922882;;0.07080078125;0.999755859375;0.0933837890625;Груженный движется вперед;32;75131;130;;;;;748.0;28.0;752.0;24.0;760.0;38.0;752.0;36.0;704.0;34.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];754;;;7.4;9.1;6.8;7.4;5.313324841104974;4.011218338529353;-1.2123340463147354;7.0;7.0;7.0;7.0;-;7.0;7.0;0;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;1;0.01;1.7974325392712962;0
18.0;9.0;60.64666716666667;59.714236166666666;343.6;84.08619689763238;-3.166148926892504;114.0;;;2.77380910997173;;0.054931640625;0.9981689453125;0.08251953125;Груженный движется вперед;32;75131;130;;;;;748.0;28.0;752.0;24.0;760.0;38.0;752.0;36.0;704.0;34.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];754;;;6.4;8.9;9.1;7.4;4.7099521327422;3.166148926892504;-0.950818706615312;7.0;7.0;7.0;7.0;-;7.0;7.0;0;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;1;0.01;1.7974325392712962;0
